School,Grad Rate,Met Benchmark English,Met Benchmark Reading,Met Benchmark Writing,Met Benchmark Science,Met Benchmark Math,Met UNC Min
Orange County Schools,89.10,53.40,44.80,33.30,31.00,34.90,64.00
Cedar Ridge High,88.90,58.10,47.70,40.70,31.80,38.40,65.90
Orange High,91.60,50.00,43.20,27.20,30.60,32.50,63.30
NC,86.5,42.8,31.8,29.2,21.9,28.5,58.8
