School Name,"Standard (CCR - Level 4 & 5, GLP - Level 3 & Above)",Percentage of: All Students,Percentage of: Female,Percentage of:  Male
Orange County Schools,Met UNC Minimum,64.0,68.4,59.7
State of North Carolina,Met UNC Minimum,58.8,62.2,55.4
